restaurant_id,name,category,price_tier,neighborhood,opening_hours,closing_hours,good_for_kids
77,Wyman and Sons,Filipino,Expensive,Crown Heights,9:00,22:00,TRUE
78,"Kertzmann, Kemmer and Ziemann",Malaysian,Expensive,Jackson Heights,9:00,22:00,FALSE
79,Little LLC,Bahraini,Cheap,Rego Park,9:00,22:00,TRUE
80,Keebler Inc,Norwegian,Expensive,Bensonhurst,9:00,22:00,TRUE
81,"O'Kon, Stracke and Brown",Azerbaijani,Cheap,Chinatown,9:00,22:00,FALSE
82,"D'Amore, O'Hara and Considine",Slovenian,Medium,Hamilton Heights,9:00,22:00,FALSE
83,Howell-Homenick,Caribbean,Medium,Bedford-Stuyvesant,9:00,22:00,FALSE
84,"Boehm, Walker and Thiel",Greek,Cheap,Coney Island,9:00,22:00,TRUE
85,Heller and Sons,Sri Lankan,Cheap,Hell's Kitchen,9:00,22:00,TRUE
86,"Daugherty, Larson and Zemlak",Afghan,Expensive,Bay Ridge,9:00,22:00,TRUE
87,"Kshlerin, Kunde and Gutkowski",Georgian,Cheap,Gramercy,9:00,22:00,TRUE
88,Hackett and Sons,Emirati,Cheap,Hamilton Heights,9:00,22:00,FALSE
89,"Mayer, Reilly and Hackett",Chinese,Expensive,Bay Ridge,9:00,22:00,TRUE
90,Schmeler-Altenwerth,Kenyan,Expensive,Kips Bay,9:00,22:00,TRUE
91,Quigley and Sons,Afghan,Medium,Jamaica,9:00,22:00,TRUE
92,Murray-Beatty,Australian,Expensive,Harlem,9:00,22:00,TRUE
93,Brown-Rath,Ghanaian,Cheap,Greenpoint,9:00,22:00,TRUE
94,"Gleason, Oberbrunner and Farrell",Afghan,Cheap,Brighton Beach,9:00,22:00,TRUE
95,Donnelly Inc,Palestinian,Cheap,Rego Park,9:00,22:00,TRUE
96,Hyatt and Sons,Lebanese,Medium,Bushwick,9:00,22:00,TRUE
97,"Fritsch, Stoltenberg and Greenfelder",Hungarian,Cheap,Astoria,9:00,22:00,TRUE
98,Willms Inc,Croatian,Medium,Inwood,9:00,22:00,FALSE
99,Hudson Inc,Ghanaian,Medium,Flushing,9:00,22:00,TRUE
100,Monahan-Smitham,Moroccan,Cheap,Times Square,9:00,22:00,TRUE
101,Wilderman-Hand,Malaysian,Expensive,Chinatown,9:00,22:00,FALSE
102,Satterfield and Sons,Croatian,Medium,Flushing,9:00,22:00,TRUE
103,"Goyette, Hane and Terry",Slovak,Cheap,Kips Bay,9:00,22:00,TRUE
104,"Senger, Toy and Haag",Korean,Cheap,Jackson Heights,9:00,22:00,TRUE
105,Hand-Paucek,Indonesian,Expensive,Kips Bay,9:00,22:00,TRUE
106,Krajcik-Will,Armenian,Expensive,Inwood,9:00,22:00,FALSE
107,Pacocha Group,Georgian,Expensive,Elmhurst,9:00,22:00,FALSE
108,Marquardt-Schumm,Indian,Medium,Lower Manhattan,9:00,22:00,FALSE
109,Paucek-Crooks,Brazilian,Cheap,Flatiron District,9:00,22:00,FALSE
110,Hettinger and Sons,Italian,Cheap,Bensonhurst,9:00,22:00,FALSE
111,"Skiles, O'Conner and Bechtelar",Moroccan,Cheap,Flushing,9:00,22:00,TRUE
112,Johns-Boyer,Argentine,Medium,Elmhurst,9:00,22:00,FALSE
113,Harris-Windler,Turkish,Expensive,Morningside Heights,9:00,22:00,TRUE
114,Russel-Kulas,Israeli,Cheap,Upper West Side,9:00,22:00,FALSE
115,Hickle Inc,Australian,Medium,Lower East Side,9:00,22:00,FALSE
116,"Wintheiser, Hilpert and Waelchi",Nigerian,Cheap,Harlem,9:00,22:00,TRUE
117,Prosacco-Haley,Indonesian,Medium,Brighton Beach,9:00,22:00,TRUE
118,Schmidt-Bauch,Moroccan,Medium,Elmhurst,9:00,22:00,FALSE
119,Tillman Inc,British,Medium,Hell's Kitchen,9:00,22:00,FALSE
120,Zemlak-Schowalter,Norwegian,Medium,Sutton Place,9:00,22:00,TRUE
121,"Koss, Altenwerth and Kautzer",Vietnamese,Cheap,Hamilton Heights,9:00,22:00,TRUE
122,"Nicolas, Flatley and Schaefer",Ukrainian,Cheap,Inwood,9:00,22:00,TRUE
123,Koelpin-Legros,Greek,Expensive,Chelsea,9:00,22:00,TRUE
124,Upton-Koss,French,Medium,Woodside,9:00,22:00,FALSE
125,Considine LLC,Cuban,Expensive,Sutton Place,9:00,22:00,FALSE
126,Thiel-Champlin,Peruvian,Cheap,Gramercy,9:00,22:00,FALSE
127,"D'Amore, Jaskolski and Monahan",French,Cheap,Elmhurst,9:00,22:00,TRUE
128,"Witting, Hodkiewicz and Quitzon",Korean,Expensive,Elmhurst,9:00,22:00,TRUE
129,"Smitham, Bartell and Nolan",Slovak,Cheap,Flushing,9:00,22:00,TRUE
130,"Kovacek, Ledner and Robel",Israeli,Medium,Chinatown,9:00,22:00,FALSE
131,Boyle and Sons,South African,Medium,Bushwick,9:00,22:00,TRUE
132,"Luettgen, O'Reilly and Herman",Cuban,Medium,Bayside,9:00,22:00,TRUE
133,"Lebsack, Smitham and Predovic",Omani,Medium,Washington Heights,9:00,22:00,FALSE
134,Watsica Inc,Turkish,Medium,Washington Heights,9:00,22:00,FALSE
135,Barrows-Senger,Slovenian,Cheap,Kips Bay,9:00,22:00,FALSE
136,Von-Jast,Israeli,Expensive,Flatbush,9:00,22:00,FALSE
137,"Legros, Ortiz and Jerde",Jordanian,Expensive,Bay Ridge,9:00,22:00,TRUE
138,"Wintheiser, Bradtke and Schroeder",Spanish,Expensive,Bayside,9:00,22:00,TRUE
139,Bauch Group,Tajik,Cheap,Financial District,9:00,22:00,FALSE
140,Hettinger-Shanahan,Ethiopian,Medium,Inwood,9:00,22:00,FALSE
141,"Wisoky, Rempel and Lowe",Emirati,Medium,Tribeca,9:00,22:00,FALSE
142,Rippin and Sons,Iraqi,Expensive,Kips Bay,9:00,22:00,FALSE
143,"Mraz, Cartwright and Hamill",Hungarian,Expensive,Coney Island,9:00,22:00,TRUE
144,Orn Inc,Spanish,Cheap,Sutton Place,9:00,22:00,TRUE
145,Nicolas and Sons,Sri Lankan,Medium,Lower Manhattan,9:00,22:00,FALSE
146,"Pacocha, Haley and Goldner",Nepali,Medium,Tribeca,9:00,22:00,FALSE
147,Cummings-Russel,Vietnamese,Cheap,Lower East Side,9:00,22:00,TRUE
148,Langosh-Glover,Mexican,Medium,Gramercy,9:00,22:00,FALSE
149,Schultz-Padberg,Georgian,Expensive,Flatbush,9:00,22:00,TRUE
150,Botsford and Sons,Pakistani,Expensive,Battery Park City,9:00,22:00,TRUE
151,Kutch-Legros,Yemeni,Expensive,Lower Manhattan,9:00,22:00,FALSE
152,Conn LLC,Bahraini,Cheap,Kips Bay,9:00,22:00,TRUE
153,"Jenkins, Gorczany and Toy",Korean,Cheap,Morningside Heights,9:00,22:00,TRUE
154,"Moen, Nolan and Collins",Georgian,Medium,Prospect Heights,9:00,22:00,FALSE
155,"Frami, Hammes and Grimes",Austrian,Cheap,Park Slope,9:00,22:00,TRUE
156,Lockman-Wisozk,Japanese,Cheap,Washington Heights,9:00,22:00,TRUE
157,"Kunde, Feest and Yost",French,Medium,Brighton Beach,9:00,22:00,TRUE
158,Glover-Zulauf,Turkish,Medium,Sunnyside,9:00,22:00,TRUE
159,Fay-Leffler,Afghan,Cheap,SoHo,9:00,22:00,FALSE
160,"Hettinger, McKenzie and Lehner",Turkish,Expensive,Forest Hills,9:00,22:00,FALSE
161,Kirlin-Yundt,Russian,Cheap,Times Square,9:00,22:00,TRUE
162,Reichel LLC,Lebanese,Medium,Washington Heights,9:00,22:00,FALSE
163,Marquardt-Lubowitz,Pakistani,Medium,Jamaica,9:00,22:00,TRUE
164,"Reynolds, O'Conner and Grant",Portuguese,Expensive,Bay Ridge,9:00,22:00,TRUE
165,Flatley and Sons,Yemeni,Expensive,Chinatown,9:00,22:00,TRUE
166,"Walter, Rath and Kuvalis",Indonesian,Medium,Kips Bay,9:00,22:00,TRUE
167,Gerhold Inc,Azerbaijani,Cheap,Forest Hills,9:00,22:00,TRUE
168,Franecki-Osinski,Sri Lankan,Expensive,Greenwich Village,9:00,22:00,TRUE
169,Schmitt-Kuphal,Danish,Cheap,Gramercy,9:00,22:00,TRUE
170,"Collier, Cole and Purdy",Romanian,Medium,Bensonhurst,9:00,22:00,TRUE
171,"Fay, King and Mayert",Jordanian,Cheap,Little Italy,9:00,22:00,TRUE
172,Wisozk-Runolfsdottir,Sri Lankan,Cheap,Midtown,9:00,22:00,TRUE
173,Hegmann LLC,Bulgarian,Cheap,Bushwick,9:00,22:00,FALSE
174,Bahringer-Walter,Ethiopian,Medium,Woodside,9:00,22:00,FALSE
175,Price-Russel,Bangladeshi,Cheap,Williamsburg,9:00,22:00,FALSE
176,"Leannon, Hills and Hauck",Vietnamese,Cheap,Crown Heights,9:00,22:00,FALSE
177,Wyman Group,Norwegian,Cheap,Bensonhurst,9:00,22:00,FALSE
178,"Mayer, Larkin and Casper",Slovenian,Cheap,East Harlem,9:00,22:00,FALSE
179,Leuschke Group,Latvian,Cheap,Forest Hills,9:00,22:00,TRUE
180,Wiza and Sons,Bangladeshi,Cheap,Long Island City,9:00,22:00,TRUE
181,"Price, O'Connell and Ullrich",Qatari,Expensive,Times Square,9:00,22:00,TRUE
182,"Halvorson, Sauer and Lubowitz",Australian,Medium,Woodside,9:00,22:00,FALSE
183,Sanford and Sons,Bangladeshi,Expensive,Hell's Kitchen,9:00,22:00,FALSE
184,"Pollich, Emard and Schmitt",Australian,Medium,Upper East Side,9:00,22:00,TRUE
185,Daniel Inc,American,Cheap,Hell's Kitchen,9:00,22:00,TRUE
186,"Parisian, Ondricka and Dicki",Moroccan,Medium,Jamaica,9:00,22:00,TRUE
187,Mills-Larkin,Austrian,Expensive,Crown Heights,9:00,22:00,TRUE
188,Kling-Gerlach,Brazilian,Expensive,Ridgewood,9:00,22:00,TRUE
189,Schiller LLC,Emirati,Medium,Elmhurst,9:00,22:00,TRUE
190,Ankunding Group,Hungarian,Expensive,Inwood,9:00,22:00,TRUE
191,"Conroy, Dicki and Berge",Israeli,Medium,Coney Island,9:00,22:00,TRUE
192,Rohan-Weissnat,Slovenian,Cheap,Flatbush,9:00,22:00,TRUE
193,West LLC,Saudi Arabian,Cheap,Morningside Heights,9:00,22:00,FALSE
194,"Mohr, Larson and Erdman",Indian,Expensive,Inwood,9:00,22:00,FALSE
195,Wehner-Dibbert,Kazakh,Expensive,NoHo,9:00,22:00,FALSE
196,Tillman and Sons,Japanese,Cheap,Times Square,9:00,22:00,TRUE
197,Pollich-Ryan,Sri Lankan,Medium,Flushing,9:00,22:00,TRUE
198,Raynor-Lemke,Chinese,Cheap,Hell's Kitchen,9:00,22:00,FALSE
199,Von Group,Vietnamese,Medium,Washington Heights,9:00,22:00,FALSE
200,Veum and Sons,Ukrainian,Cheap,Lower East Side,9:00,22:00,FALSE
201,Champlin-Von,Nigerian,Medium,East Harlem,9:00,22:00,TRUE
202,Muller LLC,Jordanian,Medium,Woodside,9:00,22:00,FALSE
203,McDermott-Terry,Austrian,Expensive,Elmhurst,9:00,22:00,TRUE
204,Leuschke-Mraz,Polish,Medium,Flatiron District,9:00,22:00,TRUE
205,"Sporer, Wunsch and Breitenberg",Romanian,Expensive,Upper East Side,9:00,22:00,TRUE
206,Schuppe-Boehm,Cuban,Cheap,Murray Hill,9:00,22:00,FALSE
207,Schaefer-Altenwerth,Slovak,Medium,Jamaica,9:00,22:00,TRUE
208,Graham and Sons,Palestinian,Cheap,Chinatown,9:00,22:00,FALSE
209,"Harber, Barrows and Prohaska",Ethiopian,Cheap,Williamsburg,9:00,22:00,TRUE
210,Leffler-Wilkinson,Palestinian,Expensive,Chinatown,9:00,22:00,TRUE
211,Hauck LLC,Pakistani,Expensive,Flatiron District,9:00,22:00,FALSE
212,"Labadie, Krajcik and Jenkins",Slovenian,Medium,Upper West Side,9:00,22:00,TRUE
213,Stracke and Sons,Italian,Cheap,Hamilton Heights,9:00,22:00,FALSE
214,Bahringer and Sons,Peruvian,Cheap,Battery Park City,9:00,22:00,TRUE
215,"McDermott, Nader and Nolan",Jordanian,Cheap,Lower Manhattan,9:00,22:00,FALSE
216,Lockman-Kilback,Malaysian,Medium,Kips Bay,9:00,22:00,FALSE
217,Homenick-Leuschke,Indonesian,Medium,Washington Heights,9:00,22:00,FALSE
218,Brown LLC,Emirati,Expensive,Washington Heights,9:00,22:00,TRUE
219,"Harris, Gutmann and Block",Greek,Cheap,Crown Heights,9:00,22:00,FALSE
220,"Wolff, O'Hara and Morissette",Romanian,Cheap,Chinatown,9:00,22:00,FALSE
221,Collier-Heaney,German,Expensive,Brighton Beach,9:00,22:00,FALSE
222,Cassin and Sons,Caribbean,Expensive,Sutton Place,9:00,22:00,TRUE
223,"Romaguera, Waters and Schuppe",Caribbean,Expensive,Elmhurst,9:00,22:00,TRUE
224,Pfannerstill-Yost,Afghan,Expensive,Upper West Side,9:00,22:00,TRUE
225,"Kessler, Lindgren and Johnston",Icelandic,Cheap,Jamaica,9:00,22:00,TRUE
226,"Davis, Huel and Kautzer",American,Cheap,Ridgewood,9:00,22:00,TRUE
227,Willms Inc,Tajik,Medium,Long Island City,9:00,22:00,TRUE
228,Reinger-Smith,Yemeni,Expensive,Chelsea,9:00,22:00,FALSE
229,Donnelly-Bartell,Chinese,Medium,Gramercy,9:00,22:00,FALSE
230,"Murphy, Mayert and Raynor",South African,Medium,Flatbush,9:00,22:00,TRUE
231,Thompson Inc,Norwegian,Medium,Chinatown,9:00,22:00,TRUE
232,Kunze-Rempel,Hungarian,Cheap,Lower East Side,9:00,22:00,FALSE
233,Nader Group,Pakistani,Cheap,Crown Heights,9:00,22:00,FALSE
234,"Kuhic, Borer and Okuneva",Romanian,Medium,Gramercy,9:00,22:00,FALSE
235,"Renner, Little and Beatty",Indonesian,Expensive,Upper East Side,9:00,22:00,FALSE
236,Wuckert-Buckridge,Swiss,Medium,Inwood,9:00,22:00,TRUE
237,Dibbert LLC,Swedish,Expensive,Little Italy,9:00,22:00,TRUE
238,Hartmann Group,Turkish,Cheap,Woodside,9:00,22:00,FALSE
239,Schowalter-Bogisich,Malaysian,Medium,Greenpoint,9:00,22:00,FALSE
240,Lindgren-Renner,Brazilian,Medium,Hamilton Heights,9:00,22:00,FALSE
241,Rohan Inc,Argentine,Medium,Harlem,9:00,22:00,FALSE
242,"Mayer, Goyette and MacGyver",Lebanese,Cheap,Financial District,9:00,22:00,TRUE
243,Donnelly-Rolfson,Kazakh,Cheap,Ridgewood,9:00,22:00,FALSE
244,"Ziemann, Yundt and Borer",Belgian,Cheap,SoHo,9:00,22:00,FALSE
245,Hoeger Inc,Nepali,Expensive,East Village,9:00,22:00,TRUE
246,Emmerich-VonRueden,Spanish,Medium,Upper East Side,9:00,22:00,FALSE
247,Spencer-Shields,Jordanian,Expensive,Gramercy,9:00,22:00,TRUE
248,"Roberts, Jones and Cremin",Cuban,Medium,Astoria,9:00,22:00,FALSE
249,"Lind, Senger and Walter",Afghan,Medium,Jamaica,9:00,22:00,FALSE
250,Herman-Keebler,Portuguese,Medium,Flatbush,9:00,22:00,FALSE
251,White LLC,Latvian,Medium,Gramercy,9:00,22:00,TRUE
252,"Reilly, Johnson and Bergstrom",Croatian,Expensive,Bushwick,9:00,22:00,TRUE
253,Cronin-Abernathy,Ethiopian,Medium,Harlem,9:00,22:00,FALSE
254,"Collins, Pfeffer and Boyle",Kenyan,Cheap,Kips Bay,9:00,22:00,FALSE
255,"Herman, Boyer and Weimann",Swiss,Cheap,Times Square,9:00,22:00,TRUE
256,Leannon-Keeling,Sri Lankan,Expensive,Morningside Heights,9:00,22:00,TRUE
257,"Kovacek, Wolff and Schuster",Norwegian,Medium,Gramercy,9:00,22:00,FALSE
258,"Schmitt, Johns and Bartoletti",Mediterranean,Cheap,Coney Island,9:00,22:00,TRUE
259,"McDermott, Brekke and MacGyver",Tajik,Cheap,Hell's Kitchen,9:00,22:00,FALSE
260,Wisoky-Torphy,Turkish,Cheap,Park Slope,9:00,22:00,TRUE
261,"Erdman, O'Connell and Miller",Egyptian,Medium,East Village,9:00,22:00,TRUE
262,"Robel, Hoppe and Klocko",Ethiopian,Cheap,SoHo,9:00,22:00,TRUE
263,Tremblay Group,Indian,Cheap,Flatiron District,9:00,22:00,FALSE
264,"Kutch, D'Amore and Cassin",Belgian,Expensive,Sutton Place,9:00,22:00,TRUE
265,Sipes and Sons,Vietnamese,Cheap,Nolita,9:00,22:00,FALSE
266,"Thompson, Greenholt and Turner",Sri Lankan,Cheap,Williamsburg,9:00,22:00,FALSE
267,Moore and Sons,Pakistani,Cheap,Greenwich Village,9:00,22:00,FALSE
268,Schneider Inc,Austrian,Medium,Astoria,9:00,22:00,FALSE
269,"Walker, Funk and Stroman",Yemeni,Cheap,Crown Heights,9:00,22:00,FALSE
270,Schowalter-Muller,German,Expensive,Williamsburg,9:00,22:00,FALSE
271,"Klocko, Streich and Lemke",French,Cheap,Washington Heights,9:00,22:00,FALSE
272,Rosenbaum-Conn,Mediterranean,Expensive,Sutton Place,9:00,22:00,FALSE
273,"Pacocha, Green and Kemmer",Caribbean,Medium,Battery Park City,9:00,22:00,TRUE
274,Lehner-Casper,Kazakh,Expensive,Astoria,9:00,22:00,TRUE
275,Bayer-Hills,Slovak,Expensive,Crown Heights,9:00,22:00,TRUE
276,Bergnaum-Lebsack,Kazakh,Cheap,Long Island City,9:00,22:00,TRUE
277,Windler-Greenholt,Bahraini,Cheap,Little Italy,9:00,22:00,FALSE
278,DuBuque LLC,Austrian,Cheap,Greenpoint,9:00,22:00,TRUE
279,"Sporer, O'Hara and Champlin",Malaysian,Cheap,SoHo,9:00,22:00,FALSE
280,"Mayer, Franecki and Goldner",Yemeni,Medium,Woodside,9:00,22:00,TRUE
281,Dooley Inc,Romanian,Expensive,Brighton Beach,9:00,22:00,FALSE
282,Windler-Jenkins,Polish,Expensive,Ridgewood,9:00,22:00,TRUE
283,Shanahan-Fahey,Japanese,Cheap,East Harlem,9:00,22:00,TRUE
284,"Morar, Zemlak and Hudson",Italian,Expensive,Woodside,9:00,22:00,TRUE
285,"Collins, Glover and Beahan",Malaysian,Expensive,Jackson Heights,9:00,22:00,FALSE
286,"Marquardt, Nolan and Feil",Bahraini,Expensive,Jamaica,9:00,22:00,TRUE
287,Halvorson-King,Indonesian,Cheap,Williamsburg,9:00,22:00,TRUE
288,Reynolds-Schoen,Turkish,Expensive,Nolita,9:00,22:00,TRUE
289,"Weber, Muller and Tillman",Indian,Expensive,Astoria,9:00,22:00,TRUE
290,Kohler and Sons,Estonian,Medium,Greenwich Village,9:00,22:00,FALSE
291,Lehner LLC,Saudi Arabian,Cheap,Flushing,9:00,22:00,TRUE
292,"Runte, Kunze and Rath",Tajik,Expensive,Flatiron District,9:00,22:00,FALSE
293,"Balistreri, O'Conner and Parker",Peruvian,Medium,Bay Ridge,9:00,22:00,FALSE
294,"Hauck, Roob and Nikolaus",Swiss,Cheap,Prospect Heights,9:00,22:00,TRUE
295,Jast and Sons,Iraqi,Cheap,Chelsea,9:00,22:00,TRUE
296,Strosin Group,Swedish,Medium,Hell's Kitchen,9:00,22:00,TRUE
297,"Runolfsson, Balistreri and Cummings",Iranian,Cheap,Flushing,9:00,22:00,FALSE
298,"Jacobson, Skiles and Schmeler",Icelandic,Medium,Crown Heights,9:00,22:00,FALSE
299,Strosin LLC,French,Medium,Hamilton Heights,9:00,22:00,TRUE
300,"Volkman, Hudson and Brakus",Lebanese,Cheap,NoHo,9:00,22:00,TRUE
301,"Zieme, Bashirian and Hirthe",Peruvian,Medium,Prospect Heights,9:00,22:00,TRUE
302,"Stamm, Crooks and Senger",Hungarian,Expensive,Sutton Place,9:00,22:00,FALSE
303,"Senger, Mayert and Rath",Mediterranean,Cheap,Hell's Kitchen,9:00,22:00,FALSE
304,West Group,Austrian,Cheap,Jamaica,9:00,22:00,FALSE
305,Donnelly Group,Romanian,Expensive,SoHo,9:00,22:00,FALSE
306,Dickens-Heidenreich,Vietnamese,Medium,Flatiron District,9:00,22:00,TRUE
307,Becker Group,Russian,Cheap,Jamaica,9:00,22:00,TRUE
308,Jacobs Group,Nepali,Medium,Battery Park City,9:00,22:00,FALSE
309,"Kovacek, Vandervort and Lind",Danish,Medium,Park Slope,9:00,22:00,FALSE
310,"Rippin, Leannon and Terry",Argentine,Medium,Prospect Heights,9:00,22:00,TRUE
311,Corwin-Hilpert,Russian,Cheap,Jamaica,9:00,22:00,FALSE
312,Crist-Williamson,Bangladeshi,Expensive,Times Square,9:00,22:00,FALSE
313,Farrell-Goodwin,Chinese,Medium,Lower East Side,9:00,22:00,FALSE
314,"Kuhlman, Gislason and Doyle",Lebanese,Cheap,Hell's Kitchen,9:00,22:00,TRUE
315,Dare-Schamberger,Ukrainian,Medium,Elmhurst,9:00,22:00,TRUE
316,Barrows Group,Slovenian,Cheap,Coney Island,9:00,22:00,TRUE
317,"Kutch, Schumm and Considine",Portuguese,Medium,SoHo,9:00,22:00,FALSE
318,"Bailey, Funk and Predovic",Austrian,Medium,Coney Island,9:00,22:00,FALSE
319,Torphy Inc,Brazilian,Medium,Hell's Kitchen,9:00,22:00,FALSE
320,"Bayer, Wiza and Thiel",Korean,Cheap,Park Slope,9:00,22:00,TRUE
